Restaurant,Dish,Ingredients,Dish_Price,Quantity,Unit,FDC,Calorie/100g,Ingredient_Price/100 gm
Chipotle,Chicken burrito,chicken,8.85,132,gram,331960,237,1.32
Chipotle,Chicken burrito,white rice,8.85,120,gram,790214,359,0.274
Chipotle,Chicken burrito,black beans,8.85,60,gram,747444,180,0.44
Chipotle,Chicken burrito,lettuce,8.85,60,gram,2346389,21,1.11
Chipotle,Chicken burrito,salsa,8.85,40,gram,746777,34,0.59
Chipotle,Chicken burrito,sour cream,8.85,30,gram,173443,196,0.66
Chipotle,Chicken burrito,monterey jack cheese,8.85,56,gram,2341123,373,0.99
Chipotle,Chicken burrito,fajita,8.85,40,gram,599993,205,1.34
Chipotle,steak burrito ,steak,10.6,132,gram,746762,139,1.98
Chipotle,steak burrito ,white rice,10.6,120,gram,790214,359,0.274
Chipotle,steak burrito ,black beans,10.6,60,gram,747444,180,0.44
Chipotle,steak burrito ,lettuce,10.6,60,gram,2346389,21,1.11
Chipotle,steak burrito ,salsa,10.6,40,gram,746777,34,0.59
Chipotle,steak burrito ,sour cream,10.6,30,gram,173443,196,0.66
Chipotle,steak burrito ,monterey jack cheese,10.6,56,gram,2341123,373,0.99
Chipotle,steak burrito ,fajita,10.6,40,gram,599993,205,1.34
Chipotle,barbacoa burrito ,barbacoa,10.6,132,gram,2341251,257,2.82
Chipotle,barbacoa burrito ,white rice,10.6,120,gram,790214,359,0.274
Chipotle,barbacoa burrito ,black beans,10.6,60,gram,747444,180,0.44
Chipotle,barbacoa burrito ,lettuce,10.6,60,gram,2346389,21,1.11
Chipotle,barbacoa burrito ,salsa,10.6,40,gram,746777,34,0.59
Chipotle,barbacoa burrito ,sour cream,10.6,30,gram,173443,196,0.66
Chipotle,barbacoa burrito ,monterey jack cheese,10.6,56,gram,2341123,373,0.99
Chipotle,barbacoa burrito ,fajita,10.6,40,gram,599993,205,1.34
Chipotle,carnitas burrito ,carnitas,9.5,132,gram,2341269,271,2.82
Chipotle,carnitas burrito ,white rice,9.5,120,gram,790214,359,0.274
Chipotle,carnitas burrito ,black beans,9.5,60,gram,747444,180,0.44
Chipotle,carnitas burrito ,lettuce,9.5,60,gram,2346389,21,1.11
Chipotle,carnitas burrito ,salsa,9.5,40,gram,746777,34,0.59
Chipotle,carnitas burrito ,sour cream,9.5,30,gram,173443,196,0.66
Chipotle,carnitas burrito ,monterey jack cheese,9.5,56,gram,2341123,373,0.99
Chipotle,carnitas burrito ,fajita,9.5,40,gram,2344088,205,1.34
Chipotle,veggie burrito ,white rice,8.85,132,gram,790214,359,0.274
Chipotle,veggie burrito ,black beans,8.85,120,gram,747444,180,0.44
Chipotle,veggie burrito ,lettuce,8.85,60,gram,2346389,21,1.11
Chipotle,veggie burrito ,salsa,8.85,60,gram,746777,34,0.59
Chipotle,veggie burrito ,sour cream,8.85,40,gram,173443,196,0.66
Chipotle,veggie burrito ,monterey jack cheese,8.85,30,gram,2341123,373,0.99
Chipotle,veggie burrito ,fajita,8.85,56,gram,2344088,205,1.34
Chipotle,veggie burrito ,guacamole,2.65,40,gram,2344801,155,2.19
Chipotle,chicken quesadilla ,Chicken,9.4,132,gram,331960,237,1.32
Chipotle,chicken quesadilla ,flour tortilla ,9.4,120,gram,2343304,306,0.7
Chipotle,chicken quesadilla ,black beans,9.4,60,gram,747444,180,0.44
Chipotle,chicken quesadilla ,lettuce,9.4,60,gram,2346389,21,1.11
Chipotle,chicken quesadilla ,salsa,9.4,40,gram,746777,34,0.59
Chipotle,chicken quesadilla ,sour cream,9.4,30,gram,173443,196,0.66
Chipotle,chicken quesadilla ,monterey jack cheese,9.4,56,gram,2341123,373,0.99
Chipotle,chicken quesadilla ,fajita,9.4,40,gram,2344088,205,1.34
Chipotle,steak qusadilla ,steak,11.15,132,gram,746762,139,1.98
Chipotle,steak qusadilla ,flour tortilla,11.15,120,gram,2343304,306,0.7
Chipotle,steak qusadilla ,black beans,11.15,60,gram,747444,180,0.44
Chipotle,steak qusadilla ,lettuce,11.15,60,gram,2346389,21,1.11
Chipotle,steak qusadilla ,salsa,11.15,40,gram,746777,34,0.59
Chipotle,steak qusadilla ,sour cream,11.15,30,gram,173443,196,0.66
Chipotle,steak qusadilla ,monterey jack cheese,11.15,56,gram,2341123,373,0.99
Chipotle,steak qusadilla ,fajita,11.15,40,gram,2344088,205,1.34
Chipotle,barbacoa quesadilla  ,barbacoa,11.15,132,gram,2341251,257,1.98
Chipotle,barbacoa quesadilla  ,flour toritlla,11.15,120,gram,2343304,306,0.7
Chipotle,barbacoa quesadilla  ,black beans,11.15,60,gram,747444,180,0.44
Chipotle,barbacoa quesadilla  ,lettuce,11.15,60,gram,2346389,21,1.11
Chipotle,barbacoa quesadilla  ,salsa,11.15,40,gram,746777,34,0.59
Chipotle,barbacoa quesadilla  ,sour cream,11.15,30,gram,173443,196,0.66
Chipotle,barbacoa quesadilla  ,monterey jack cheese,11.15,56,gram,2341123,373,0.99
Chipotle,barbacoa quesadilla  ,fajita,11.15,40,gram,2344088,205,1.34
Chipotle,carnita quesadilla,carnitas,9.4,132,gram,2341269,271,2.82
Chipotle,carnita quesadilla,flour tortilla ,11.15,120,gram,2343304,306,0.7
Chipotle,carnita quesadilla,black beans,11.15,60,gram,747444,180,0.44
Chipotle,carnita quesadilla,lettuce,10.5,60,gram,2346389,21,1.11
Chipotle,carnita quesadilla,salsa,9.4,40,gram,746777,34,0.59
Chipotle,carnita quesadilla,sour cream,9.4,30,gram,173443,196,0.66
Chipotle,carnita quesadilla,monterey jack cheese,9.4,56,gram,2341123,373,0.99
Chipotle,carnita quesadilla,fajita,9.4,40,gram,599993,205,1.34
Chipotle,chicken salad,black beans,8.85,60,gram,747444,180,0.44
Chipotle,chicken salad,lettuce,8.85,60,gram,2346389,21,1.11
Chipotle,chicken salad,salsa,8.85,40,gram,746777,34,0.59
Chipotle,chicken salad,sour cream,8.85,30,gram,173443,196,0.66
Chipotle,chicken salad,monterey jack cheese,8.85,56,gram,2341123,373,0.99
Chipotle,chicken salad,fajita,8.85,40,gram,2344088,205,1.34
Chipotle,steak salad,steak,10.6,132,gram,746762,139,1.98
Chipotle,steak salad,white rice,10.6,120,gram,790214,359,0.274
Chipotle,steak salad,black beans,10.6,60,gram,747444,180,0.44
Chipotle,steak salad,lettuce,10.6,60,gram,2346389,21,1.11
Chipotle,steak salad,salsa,10.6,40,gram,746777,34,0.59
Chipotle,steak salad,sour cream,10.6,30,gram,173443,196,0.66
Chipotle,steak salad,monterey jack cheese,10.6,56,gram,2341123,373,0.99
Chipotle,steak salad,fajita,10.6,40,gram,2344088,205,1.34
Chipotle,barbacoa salad,barbacoa,10.6,132,gram,2341251,257,1.98
Chipotle,barbacoa salad,white rice,10.6,120,gram,790214,359,0.274
Chipotle,barbacoa salad,black beans,10.6,60,gram,747444,180,0.44
Chipotle,barbacoa salad,lettuce,10.6,60,gram,2346389,21,1.11
Chipotle,barbacoa salad,salsa,10.6,40,gram,746777,34,0.59
Chipotle,barbacoa salad,sour cream,10.6,30,gram,173443,196,0.66
Chipotle,barbacoa salad,monterey jack cheese,10.6,56,gram,2341123,373,0.99
Chipotle,barbacoa salad,fajita,10.6,40,gram,2344088,205,1.34
Chipotle,carnitas salad,carnitas,9.5,132,gram,2341269,271,2.82
Chipotle,carnitas salad,white rice,9.5,120,gram,790214,359,0.274
Chipotle,carnitas salad,black beans,9.5,60,gram,747444,180,0.44
Chipotle,carnitas salad,lettuce,9.5,60,gram,2346389,21,1.11
Chipotle,carnitas salad,salsa,9.5,40,gram,746777,34,0.59
Chipotle,carnitas salad,sour cream,9.5,30,gram,173443,196,0.66
Chipotle,carnitas salad,monterey jack cheese,9.5,56,gram,2341123,373,0.99
Chipotle,carnitas salad,fajita,9.5,40,gram,2344088,205,1.34
Chipotle,veggie salad,white rice,8.85,220,gram,790214,359,0.274
Chipotle,chicken taco,white rice,8.85,120,gram,790214,359,0.274
Chipotle,chicken taco,black beans,8.85,120,gram,747444,180,0.44
Chipotle,chicken taco,lettuce,8.85,60,gram,2346389,21,1.11
Chipotle,chicken taco,salsa,8.85,60,gram,746777,34,0.59
Chipotle,chicken taco,sour cream,8.85,40,gram,173443,196,0.66
Chipotle,chicken taco,monterey jack cheese,8.85,30,gram,2341123,373,0.99
Chipotle,chicken taco,fajita,8.85,56,gram,2344088,205,1.34
Chipotle,steak taco,steak,10.6,132,gram,746762,139,1.98
Chipotle,steak taco,white rice,10.6,220,gram,790214,359,1.98
Chipotle,steak taco,black beans,10.6,120,gram,747444,180,0.44
Chipotle,steak taco,lettuce,10.6,60,gram,2346389,21,1.11
Chipotle,steak taco,salsa,10.6,60,gram,746777,34,0.59
Chipotle,steak taco,sour cream,10.6,40,gram,173443,196,0.66
Chipotle,steak taco,monterey jack cheese,10.6,30,gram,2341123,373,0.99
Chipotle,steak taco,fajita,10.6,56,gram,2344088,205,1.34
Chipotle,barbacoa taco,barbacoa,10.6,132,gram,2341251,257,1.98
Chipotle,barbacoa taco,white rice,10.6,120,gram,790214,359,0.274
Chipotle,barbacoa taco,black beans,10.6,120,gram,747444,180,0.44
Chipotle,barbacoa taco,lettuce,10.6,60,gram,2346389,21,1.11
Chipotle,barbacoa taco,salsa,10.6,60,gram,746777,34,0.59
Chipotle,barbacoa taco,sour cream,10.6,40,gram,173443,196,0.66
Chipotle,barbacoa taco,monterey jack cheese,10.6,30,gram,2341123,373,0.99
Chipotle,barbacoa taco,fajita,10.6,56,gram,2344088,205,1.34
Chipotle,carnitas taco,carnitas,9.5,132,gram,2341269,271,2.82
Chipotle,carnitas taco,white rice,9.5,120,gram,790214,359,0.274
Chipotle,carnitas taco,black beans,9.5,120,gram,747444,180,0.44
Chipotle,carnitas taco,lettuce,9.5,60,gram,2346389,21,1.11
Chipotle,carnitas taco,salsa,9.5,60,gram,746777,34,0.59
Chipotle,carnitas taco,sour cream,9.5,40,gram,173443,196,0.66
Chipotle,carnitas taco,monterey jack cheese,9.5,30,gram,2341123,373,0.99
